MLS No,Latitude,Longitude
ML81920587,37.2626395,-121.871157
ML81922984,37.2854458,-121.877452
ML81969236,37.344418,-121.8683632
ML81947271,37.344418,-121.8683632
ML81948166,37.3164034,-121.9003292
41043577,37.84053790000001,-122.2482752
41019675,37.7698138,-122.2030061
41034668,37.7698138,-122.2030061
41061414,37.8454853,-122.2547039
41022353,37.7556491,-122.1868156
CRLC22246244,38.9569078,-122.633604
CRLC23194951,38.9703953,-122.6532865
CRLC23073505,38.9788563,-122.6639692
BA323920343,38.9703953,-122.6532865
BA323027554,38.9788563,-122.6639692
ME223059099,38.6935942,-120.8660708
ME223005208,38.7597767,-120.9093137
ME223057419,38.76821169999999,-120.9582136
ME223063606,38.7004539,-120.601269
ME224029411,38.7717661,-120.9683878
ME222144469,38.0468767,-121.3952329
ME223074650,38.046024,-121.397335
ME222061513,38.0464031,-121.3953734
ME223054823,38.04572,-121.396094
ME223073582,38.045878,-121.39671
ME223036753,38.045879,-121.395452
ME223099174,38.046552,-121.397759
ME224030398,37.9537587,-121.2725911
CRCV23158983,36.778261,-119.4179324
40982945,37.7323642,-122.1700637
41051345,37.8427836,-122.2863117
41057641,37.8393187,-122.2187556
41053053,37.7584395,-122.1710782
41009113,37.8361411,-122.2522529
ME223101648,38.7122803,-120.8266314
ME224036712,37.6149064,-120.9742134
SF423744458,37.3393519,-121.8719823
ML81921135,37.3991742,-121.8546821
ML81952571,37.2548419,-121.8878455
ML81934654,37.247171,-121.8904488
ML81916850,37.2495459,-121.9483168
ML81968861,37.3059813,-121.8346488
ML81925132,37.2696147,-121.8668804
ML81942929,37.2699075,-121.8658922
ML81931373,37.2380039,-121.8948303
ML81932598,37.2492374,-121.9157848
BA324004009,37.3059813,-121.8346488
ME224041179,37.3021965,-121.8264096
ML81914007,37.3026961,-121.8272123
ML81936287,37.2420883,-121.9366671
41048513,37.3131887,-121.8297395
ME223064745,38.051099,-121.270518
41030119,37.8503447,-122.2580345
41019499,37.8011431,-122.207241
41073612,37.8041486,-122.2076284
41024374,37.8332354,-122.2592035
41060488,37.7824703,-122.1987491
41049806,37.81597,-122.2576011
41040561,37.761528,-122.1888371
SF423755511,37.7683871,-122.1997051
41016907,37.7943106,-122.1810885
41034449,37.8049627,-122.2451131
41039329,37.809543,-122.211371
41016988,37.7779347,-122.2148421
41047627,37.739685,-122.1562204
41031697,37.7292957,-122.1827404
41056160,37.7344048,-122.187974
BA323032380,37.7325668,-122.1828215
41044772,37.8368998,-122.2530884
41045159,37.7292957,-122.1827404
ME223025428,38.6230871,-121.43948
41037056,37.7621436,-122.1679355
ML81959706,36.65167,-121.7280382
41026012,37.7633446,-122.1851782
41015446,37.8408318,-122.2086482
CRIG23131635,37.2131514,-121.8601276
ML81956211,37.2276778,-121.8040756
41024406,37.8519307,-122.2561303
41060288,37.8247144,-122.2151332
ML81914465,37.7598773,-122.1856801
41049734,37.8800028,-122.0784593
ML81948499,37.3847987,-121.8331977
ML81948423,37.3232174,-121.8824612
41033794,37.7624275,-122.177929
41030209,37.8922344,-122.2746268
ML81970174,37.2201773,-121.7617949
ML81920817,38.6902365,-121.0891539
ML81935627,37.3598857,-121.8847793
ME223101229,38.6295374,-121.1189108
ML81927184,37.243343,-121.865775
ML81923618,37.2735504,-121.8024762
ML81916121,37.3877532,-121.8345543
ML81924334,37.335155,-121.9383049
41019763,37.7817652,-122.1730806
BA323001013,38.3013593,-122.2976835
41007486,37.776193,-122.1890537
41044421,37.7474207,-122.1587787
ML81927483,37.3296691,-121.9457635
ML81974640,37.2620609,-121.9298405
ML81943443,37.3349011,-121.8621604
41043070,37.80534919999999,-122.209278
ML81959456,37.3418865,-121.8763567
ML81973555,37.4039197,-121.8837438
41061576,37.8049292,-122.2045186
ML81933722,37.3791209,-121.8466315
41047353,37.7967732,-122.23798
41021530,37.7964818,-122.2460581
ML81925292,37.248488,-121.930569
SF423727453,37.8386541,-122.2813061
41024474,37.8190668,-122.2681744
ML81977207,37.2962888,-121.7522401
41017050,37.8430189,-122.2829891
BA324008344,38.3108574,-122.2719689
41036522,37.7844229,-122.1743204
ML81924052,37.2439293,-121.8282554
ML81956737,37.2945419,-121.8855004
ML81917613,37.3168266,-121.7794906
ML81971015,37.348804,-121.9296797
ML81938767,37.2200846,-121.9073303
ML81925896,37.3342203,-121.8693318
BA322101766,37.7597128,-122.1738289
41029429,37.8196163,-122.2563136
41028713,37.7938142,-122.2074187
41034181,37.7356904,-122.176401
41027435,37.9194552,-121.7204685
ML81929959,37.2428873,-121.764212
BA324021341,38.4552001,-122.6866759
ML81960819,37.7727544,-122.1854916
BA323053743,37.7655286,-122.1866888
ML81919188,37.3118055,-121.9020848
41041195,37.8098813,-122.2966775
41024248,37.8001964,-122.1953794
ML81963726,37.2874447,-121.9016844
ML81959737,37.3855663,-121.8864011
ME224001518,38.7780054,-121.2141474
ML81930866,37.3169274,-121.9859125
ML81939129,37.2359751,-121.9114583
41058317,37.73515200000001,-122.1315338
41038170,37.8907118,-122.2630668
41043050,37.73051700000001,-122.1777423
BA323035738,38.5071424,-122.1959703
ML81938572,37.3053546,-122.003025
ML81927102,37.3200222,-121.9372745
ML81924416,37.2780146,-121.8124273
ML81935554,37.3166811,-121.984706
41017511,37.8071035,-122.2247112
41044994,37.79572140000001,-122.2348912
BA323016486,37.7570473,-122.1709623
ML81933651,37.3055676,-121.9969581
ML81955501,37.2647584,-121.8950135
ML81970697,37.2386753,-121.8233349
41023998,37.8399001,-122.2329214
SF422709011,37.7999875,-122.2321766
ML81942913,37.31901209999999,-121.9256274
41021627,37.8399363,-122.2769749
41032710,37.7888069,-122.191375
41054830,37.8435844,-122.2372411
ML81936269,37.3090822,-121.9997855
41038928,37.7664385,-122.1415048
ML81969892,37.3568147,-121.8558073
ML81931022,37.3375498,-121.8645745
ML81953695,37.3025347,-121.9370834
BA324057162,37.2747797,-121.7433674
41010752,37.9108063,-121.7280917
41053384,37.8792049,-122.2579742
41020466,37.8498185,-122.2593041
ML81932481,37.24022,-121.866491
ML81966329,37.2023662,-121.8526483
41026950,37.7715517,-122.2202048
ME223066973,38.834914,-121.2417795
ML81964745,37.2171349,-121.8696535
41027063,37.8512055,-122.2491002
ML81940660,37.3410768,-121.8738596
ME223081663,38.7271143,-121.0989753
41051287,37.7743408,-122.1482302
ML81937598,36.6408518,-121.7063458
ML81941124,37.3302439,-121.7783164
41029107,37.8411388,-122.2736049
41037688,37.7583867,-122.1818554
ML81949408,37.320526,-121.9571984
ML81974271,37.2487134,-121.9492856
41024960,37.90387339999999,-121.7255635
ML81951950,37.2511026,-121.8114194
41014875,37.8010937,-122.1947305
ML81977013,37.2786809,-121.9864776
ML81925276,37.2342259,-121.8733534
ML81957571,37.2367405,-121.7567921
41054061,37.8824864,-122.2677884
41048393,37.8360288,-122.2724052
ML81938879,37.3130508,-121.8931263
ML81954621,37.364453,-121.9695193
BA322099743,38.4134452,-122.7497447
41064566,37.7961005,-122.2017529
ML81965052,38.6539707,-121.3363148
ML81941484,37.3059985,-121.9915942
41060361,37.7404066,-122.1549869
41041856,37.915977,-121.7211741
CRWS24136691,36.778261,-119.4179324
ML81932032,37.2860067,-121.9131455
ME222149819,38.8626415,-121.2745493
ML81940745,37.2222685,-121.888916
41069295,37.8190601,-122.2490281
ML81941569,37.2836681,-121.9831458
41018953,37.7753907,-122.1695267
ML81916138,37.2429272,-121.8984004
ML81960282,37.341605,-121.7962138
ML81930962,37.133122,-121.979702
41060875,37.8605418,-122.0712804
41034276,37.8455419,-122.2140442
41060067,37.8356834,-122.2616592
41033113,37.7833035,-122.1992257
ML81937047,37.2804712,-121.9278889
